date,avg_vader_score
2021-01-04,0.7184
2021-01-05,0.5669
2021-01-06,0.0412
2021-01-07,0.2538
2021-01-08,0.3245
2021-01-09,0.865
2021-01-10,0.9103
2021-01-11,0.377
2021-01-12,0.533
2021-01-13,0.4776
2021-01-14,-0.4947
2021-01-15,0.1595
2021-01-16,0.9337
2021-01-17,-0.1418
2021-01-18,-0.1263
2021-01-19,0.4808
2021-01-20,0.2679
2021-01-21,0.2219
2021-01-22,-0.0556
2021-01-23,-0.1749
2021-01-24,0.0
2021-01-25,0.5312
2021-01-26,0.0791
2021-01-27,0.1661
2021-01-28,0.1819
2021-01-29,-0.1752
2021-01-30,0.5448
2021-01-31,0.5968
2021-02-01,-0.1253
2021-02-02,0.7141
2021-02-03,0.4325
2021-02-04,-0.2011
2021-02-05,0.3037
2021-02-06,-0.2764
2021-02-07,0.3164
2021-02-08,0.0723
2021-02-09,0.3935
2021-02-10,0.15
2021-02-11,0.1148
2021-02-12,0.2598
2021-02-13,0.8511
2021-02-14,-0.1071
2021-02-15,0.5522
2021-02-16,0.4283
2021-02-17,0.0501
2021-02-18,0.048
2021-02-19,-0.8402
2021-02-20,0.0
2021-02-21,0.743
2021-02-22,0.9216
2021-02-23,0.3286
2021-02-24,0.1681
2021-02-25,-0.1725
2021-02-26,-0.5571
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.8446
2021-03-02,0.5418
2021-03-03,0.3871
2021-03-04,0.0912
2021-03-05,0.6486
2021-03-06,0.0
2021-03-07,0.2987
2021-03-08,0.8934
2021-03-09,0.1186
2021-03-10,0.0
2021-03-11,-0.2307
2021-03-12,0.3818
2021-03-13,-0.019
2021-03-14,0.2485
2021-03-15,-0.1669
2021-03-16,-0.8689
2021-03-17,0.2681
2021-03-18,-0.2454
2021-03-19,0.3818
2021-03-20,0.0
2021-03-21,0.2469
2021-03-22,0.1977
2021-03-23,0.292
2021-03-24,0.2311
2021-03-25,0.2032
2021-03-26,0.3403
2021-03-27,0.9287
2021-03-28,0.0
2021-03-29,0.0166
2021-03-30,0.0
2021-03-31,0.4607
2021-04-01,0.0
2021-04-02,0.6795
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.4579
2021-04-06,0.1531
2021-04-07,0.2848
2021-04-08,0.0
2021-04-09,0.3947
2021-04-10,0.9432
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,-0.2263
2021-04-14,0.5683
2021-04-15,-0.0874
2021-04-16,0.098
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.6283
2021-04-20,-0.3523
2021-04-21,0.4404
2021-04-22,0.2871
2021-04-23,0.3974
2021-04-24,0.0
2021-04-25,0.5267
2021-04-26,0.0
2021-04-27,0.8978
2021-04-28,0.9118
2021-04-29,0.5804
2021-04-30,0.3956
2021-05-01,0.0
2021-05-02,0.3818
2021-05-03,0.0
2021-05-04,-0.25
2021-05-05,0.5056
2021-05-06,0.3641
2021-05-07,-0.3153
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.9062
2021-05-12,0.0614
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.6956
2021-05-16,0.4501
2021-05-17,-0.2597
2021-05-18,0.1132
2021-05-19,-0.059
2021-05-20,0.3061
2021-05-21,0.126
2021-05-22,0.0
2021-05-23,0.5843
2021-05-24,0.7472
2021-05-25,0.0
2021-05-26,0.7513
2021-05-27,0.6114
2021-05-28,0.2834
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.2982
2021-06-01,0.0772
2021-06-02,-0.1531
2021-06-03,0.2164
2021-06-04,0.4803
2021-06-05,0.5719
2021-06-06,0.0
2021-06-07,0.4555
2021-06-08,0.5697
2021-06-09,-0.2553
2021-06-10,-0.4133
2021-06-11,0.9149
2021-06-12,0.0
2021-06-13,-0.004
2021-06-14,0.3632
2021-06-15,0.3818
2021-06-16,-0.0149
2021-06-17,0.0
2021-06-18,0.5297
2021-06-19,0.3612
2021-06-20,0.0
2021-06-21,-0.0607
2021-06-22,0.3815
2021-06-23,0.2049
2021-06-24,0.606
2021-06-25,0.7954
2021-06-26,0.6059
2021-06-27,0.0
2021-06-28,0.8295
2021-06-29,0.5135
2021-06-30,0.1225
2021-07-01,0.6815
2021-07-02,-0.5694
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.2426
2021-07-06,-0.1851
2021-07-07,0.5503
2021-07-08,0.5972
2021-07-09,0.6692
2021-07-10,0.0
2021-07-11,0.7137
2021-07-12,0.6339
2021-07-13,0.1802
2021-07-14,0.8316
