date,avg_vader_score
2024-09-02,0.7845
2024-09-03,0.0
2024-09-04,0.0314
2024-09-05,-0.9042
2024-09-06,0.2543
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,0.1183
2024-09-10,-0.0729
2024-09-11,-0.2972
2024-09-12,0.1456
2024-09-13,0.252
2024-09-14,0.3464
2024-09-15,0.3798
2024-09-16,-0.0333
2024-09-17,0.0651
2024-09-18,0.041
2024-09-19,0.3151
2024-09-20,0.2457
2024-09-21,0.4278
2024-09-22,0.6557
2024-09-23,-0.2366
2024-09-24,-0.0436
2024-09-25,0.4141
2024-09-26,0.1008
2024-09-27,0.2955
2024-09-28,0.2121
2024-09-29,0.0734
2024-09-30,-0.0772
